date,mercury_x,mercury_y,mercury_z,venus_x,venus_y,venus_z,earth_x,earth_y,earth_z,mars_x,mars_y,mars_z,jupiter_x,jupiter_y,jupiter_z,saturn_x,saturn_y,saturn_z,uranus_x,uranus_y,uranus_z,neptune_x,neptune_y,neptune_z,moon_x,moon_y,moon_z
2024-04-14,-0.3749900785997709,-0.19747296555931237,-0.06662442817204926,0.7180005628357802,-0.08032408563676854,-0.08156889983359132,-0.9147846669154278,-0.37732618588487965,-0.1635630977368964,1.0716333805496652,-0.7873323940861824,-0.3900444224207983,2.881331560360987,3.7889449778376703,1.5539079812917274,9.169216072545266,-2.789180162718099,-1.5468379106397079,11.945692155869251,14.291287062448426,6.090100903385597,29.858090088844442,-1.0799137039467008,-1.1853287954418315,-0.00013787000470399935,0.002261158919006412,0.0012334754171396123
2024-04-15,-0.36646181510844217,-0.21750080439879585,-0.0782072354511188,0.720586218732062,-0.06206520837341525,-0.07351661682046591,-0.9078695585450828,-0.3917262708618416,-0.1698055032409845,1.0809695019784475,-0.7762659654965968,-0.38522038160159017,2.87506395345112,3.7932070746626976,1.5558873952547563,9.170726095070263,-2.7842879425631333,-1.5448822638787094,11.942539073216903,14.293304009797668,6.091028834686839,29.858217508238063,-1.0769872273364036,-1.1841340703747938,-0.0007154210055728694,0.0022036921889707073,0.0012181451430761103
2024-04-16,-0.35660017941713323,-0.23673770198471608,-0.08950571858170626,0.7226169253268815,-0.043758531152895255,-0.06540771536974258,-0.9006888424441376,-0.40601022858039154,-0.17599741009163014,1.090185338753501,-0.7651131592893767,-0.38035347596488106,2.8687895639041514,3.7974602238920916,1.5578631392107207,9.172233141660202,-2.7793948273881974,-1.5429261194457944,11.939385512405195,14.295320386254664,6.0919565229484585,29.85834458883709,-1.0740607464187129,-1.1829393351778374,-0.0012568663535847957,0.002035531073001251,0.0011416146481631195
2024-04-17,-0.3454765227827874,-0.25513718355551834,-0.10048765547345408,0.7240909085178281,-0.025418139820722514,-0.05724842138643891,-0.893245140221634,-0.42017411797832394,-0.18213711784129252,1.0992797793230296,-0.7538751560245952,-0.3754442170174018,2.862508407467091,3.801704416762967,1.559835209021387,9.173737211553874,-2.774500818722251,-1.5409694779392245,11.936231473537434,14.297336191702769,6.09288396811929,29.85847133063064,-1.0711342612495083,-1.1817445898729466,-0.0017376545115497244,0.0017686732404256778,0.001009740520781316
2024-04-18,-0.33316143107286333,-0.27265716170897303,-0.11112324709533761,0.7250068156154201,-0.00705815663150541,-0.04904500382014089,-0.8855410967204558,-0.43421407842638143,-0.188222966606387,1.108251727824648,-0.7425531499981062,-0.37049312298960557,2.8562204999011533,3.8059396445375544,1.5618036005588039,9.175238303991813,-2.769605918095719,-1.539012339958073,11.933076956717903,14.299351426024437,6.0938111701476245,29.858597733608775,-1.068207771885593,-1.1805498344826604,-0.0021372897550956393,0.001418340499229509,0.0008302458722844741
2024-04-19,-0.319724633683608,-0.2892594997544336,-0.12138489365852015,0.7253637170030627,0.011307270115235853,-0.04080377010649192,-0.8775793783465036,-0.44812632145958664,-0.19425333246836565,1.1171001043468791,-0.7311483490313649,-0.3655007187463165,2.849925856981726,3.810165898503302,1.5637683097053574,9.176736418216322,-2.7647101270403946,-1.5370547061021778,11.929921962051893,14.301366089101297,6.094738128981251,29.85872379776254,-1.0652812783845969,-1.1793550690300243,-0.0024393935733088012,0.0010022147196341313,0.000612305603544111
2024-04-20,-0.3052349589789946,-0.3049096182752688,-0.13124698906050233,0.7251611075075538,0.029663976491341573,-0.03253106156693055,-0.8693626716088684,-0.4619071248523545,-0.2002266241442585,1.125823845186557,-0.7196619742562343,-0.36046753569496953,2.843624494498318,3.814383169972979,1.5657293323538213,9.17823155347149,-2.7598134470893543,-1.535096576972097,11.926766489645708,14.303380180814273,6.095664844567504,29.858849523083986,-1.0623547808048925,-1.1781602935385482,-0.0026317476458446176,0.0005398681852972209,0.0003662368193157739
2024-04-21,-0.2897603277599325,-0.31957614243384935,-0.14068573315232913,0.7243989074772116,0.04799779340223884,-0.02423324876925286,-0.8608936808609581,-0.47555282787732295,-0.20614128032398304,1.1344219031019949,-0.7080952598948625,-0.3553941116914737,2.837316428254517,3.8185914502847735,1.5676866644074066,9.179723709003184,-2.754915879776872,-1.5331379531690674,11.92361053960667,14.305393701043633,6.096591316853305,29.85897490956616,-1.0594282792055087,-1.176965508032162,-0.002706401546753834,5.229291951985848e-05,0.00010324479902532047
2024-04-22,-0.2733677777759401,-0.3332305873851051,-0.14967896114601328,0.7230774635648095,0.06629455708886312,-0.01591672685163775,-0.8521751250211946,-0.48905982659890146,-0.21199576705614215,1.1428932475617752,-0.6964494530347143,-0.3502809909437351,2.831001674067928,3.822790730802379,1.569640301779808,9.181212884059065,-2.750017426638347,-1.5311788352949651,11.920454112043133,14.307406649669085,6.097517545785196,29.85909995720312,-1.0565017736460605,-1.17577071253518,-0.0026598634115776454,-0.00043856555630250593,-0.0001648263513977788
2024-04-23,-0.2561235135683227,-0.34584707915094165,-0.15820598933966779,0.7211975492126208,0.08454011966289351,-0.007587910812835583,-0.8432097336490574,-0.5024245682639918,-0.21778857466278514,1.151236864989025,-0.6847258133988463,-0.3451287239128754,2.824680247770111,3.8269810029150775,1.5715902403952446,9.182699077888577,-2.7451180892102323,-1.5292192239522713,11.917297207064468,14.309419026569843,6.0984435313093845,29.859224665989903,-1.0535752641866758,-1.1745759070722632,-0.0024933426546196458,-0.0009103471755063097,-0.00042578111689461906
